vocab_id,kanji_id,relationship_type
"雨","雨","WRITTEN_IN"
"一","一","WRITTEN_IN"
"一日","一","WRITTEN_IN"
"一日","日","WRITTEN_IN"
"今","今","WRITTEN_IN"
"駅","駅","WRITTEN_IN"
"円","円","WRITTEN_IN"
"お金","金","WRITTEN_IN"
"男","男","WRITTEN_IN"
"女","女","WRITTEN_IN"
"会社","会","WRITTEN_IN"
"会社","社","WRITTEN_IN"
"学生","学","WRITTEN_IN"
"学生","生","WRITTEN_IN"
"学校","学","WRITTEN_IN"
"学校","校","WRITTEN_IN"
"木","木","WRITTEN_IN"
"九","九","WRITTEN_IN"
"今日","今","WRITTEN_IN"
"今日","日","WRITTEN_IN"
"国","国","WRITTEN_IN"
"車","車","WRITTEN_IN"
"魚","魚","WRITTEN_IN"
"三","三","WRITTEN_IN"
"四","四","WRITTEN_IN"
"時間","時","WRITTEN_IN"
"時間","間","WRITTEN_IN"
"十","十","WRITTEN_IN"
"先生","先","WRITTEN_IN"
"先生","生","WRITTEN_IN"
"大学","大","WRITTEN_IN"
"大学","学","WRITTEN_IN"
"手","手","WRITTEN_IN"
"電車","電","WRITTEN_IN"
"電車","車","WRITTEN_IN"
"電話","電","WRITTEN_IN"
"電話","話","WRITTEN_IN"
"飲む","飲","WRITTEN_IN"
"食べる","食","WRITTEN_IN"
"行く","行","WRITTEN_IN"
"来る","来","WRITTEN_IN"
"見る","見","WRITTEN_IN"
"聞く","聞","WRITTEN_IN"
"書く","書","WRITTEN_IN"
"読む","読","WRITTEN_IN"
"話す","話","WRITTEN_IN"
"買う","買","WRITTEN_IN"
"休む","休","WRITTEN_IN"
"高い","高","WRITTEN_IN"
"新しい","新","WRITTEN_IN"
"古い","古","WRITTEN_IN"
"安い","安","WRITTEN_IN"
"大きい","大","WRITTEN_IN"
"小さい","小","WRITTEN_IN"
