grammar_id,topic_id,relationship_type
"Akhiran です、 だ","Dasar Kalimat","BELONGS_TO_TOPIC"
"Partikel subject は、も、 が","Partikel","BELONGS_TO_TOPIC"
"Partikel object を、に、へ、 で","Partikel","BELONGS_TO_TOPIC"
"Partikel と、や、と か","Partikel","BELONGS_TO_TOPIC"
"Partikel  の","Partikel","BELONGS_TO_TOPIC"
"Memahami Kelompok Kata Kerja Bahasa Jepang (Godan, Ichidan, dan Fukisoku Doushi)","Konjugasi Kata Kerja","BELONGS_TO_TOPIC"
"Memahami Konjugasi Kata Kerja, Kata Benda dan Kata Sifat (Positif, Negatif, Lampau, Negatif Lampau)","Konjugasi Kata Kerja","BELONGS_TO_TOPIC"
"Kata Kerja Bentuk Sopan (masu-kei)","Konjugasi Kata Kerja","BELONGS_TO_TOPIC"
"Tata bahasa ~がある dan ~がい る","Keberadaan (Eksistensi)","BELONGS_TO_TOPIC"
"Tata bahasa ~てください dan ~ないでくださ い","Permintaan dan Perintah","BELONGS_TO_TOPIC"
"Tata bahasa ~ましょう、~ましょうか、~ません か","Ajakan dan Tawaran","BELONGS_TO_TOPIC"
"Tata bahasa ~てもいい、~なくてもい い","Izin dan Kewajiban","BELONGS_TO_TOPIC"
"Tata bahasa ~てはいけない、~なくてはいけな い","Izin dan Kewajiban","BELONGS_TO_TOPIC"
"Tata bahasa ~から、~の で","Sebab dan Akibat","BELONGS_TO_TOPIC"
"Tata bahasa ~ている、~ていく、~てく る","Aspek Waktu","BELONGS_TO_TOPIC"
"Tata bahasa ~のほうが　~よ り","Perbandingan","BELONGS_TO_TOPIC"
"Tata bahasa ~ほうがい い","Saran","BELONGS_TO_TOPIC"
"Tata bahasa ~の中で、~がいちば ん","Perbandingan","BELONGS_TO_TOPIC"
"Tata bahasa ~つもりで す","Niat dan Rencana","BELONGS_TO_TOPIC"
"Mengubah kata adjective jadi adverb ~く／にな る","Modifikasi Kata Sifat","BELONGS_TO_TOPIC"
"Tata bahasa ~たいです、~たくないで す","Ungkapan Keinginan","BELONGS_TO_TOPIC"
"Tata bahasa ~たりす る","Aktivitas Paralel","BELONGS_TO_TOPIC"
"Tata bahasa ~たことがある、~たことがな い","Pengalaman","BELONGS_TO_TOPIC"
"Akhiran だろう、でしょう、かもしれな い","Dugaan dan Kemungkinan","BELONGS_TO_TOPIC"
"Tata bahasa ~まえに、~てか ら","Urutan Waktu","BELONGS_TO_TOPIC"
