vocab_id,kanji_id,relationship_type
雨,雨,WRITTEN_IN
一,一,WRITTEN_IN
一日,一,WRITTEN_IN
一日,日,WRITTEN_IN
今,今,WRITTEN_IN
駅,駅,WRITTEN_IN
円,円,WRITTEN_IN
お金,金,WRITTEN_IN
男,男,WRITTEN_IN
女,女,WRITTEN_IN
会社,会,WRITTEN_IN
会社,社,WRITTEN_IN
学生,学,WRITTEN_IN
学生,生,WRITTEN_IN
学校,学,WRITTEN_IN
学校,校,WRITTEN_IN
木,木,WRITTEN_IN
九,九,WRITTEN_IN
今日,今,WRITTEN_IN
今日,日,WRITTEN_IN
国,国,WRITTEN_IN
車,車,WRITTEN_IN
魚,魚,WRITTEN_IN
三,三,WRITTEN_IN
四,四,WRITTEN_IN
時間,時,WRITTEN_IN
時間,間,WRITTEN_IN
十,十,WRITTEN_IN
先生,先,WRITTEN_IN
先生,生,WRITTEN_IN
大学,大,WRITTEN_IN
大学,学,WRITTEN_IN
手,手,WRITTEN_IN
電車,電,WRITTEN_IN
電車,車,WRITTEN_IN
電話,電,WRITTEN_IN
電話,話,WRITTEN_IN
飲む,飲,WRITTEN_IN
食べる,食,WRITTEN_IN
行く,行,WRITTEN_IN
来る,来,WRITTEN_IN
見る,見,WRITTEN_IN
聞く,聞,WRITTEN_IN
書く,書,WRITTEN_IN
読む,読,WRITTEN_IN
話す,話,WRITTEN_IN
買う,買,WRITTEN_IN
休む,休,WRITTEN_IN
高い,高,WRITTEN_IN
新しい,新,WRITTEN_IN
古い,古,WRITTEN_IN
安い,安,WRITTEN_IN
大きい,大,WRITTEN_IN
小さい,小,WRITTEN_IN
安全,安,WRITTEN_IN
右,右,WRITTEN_IN
火曜日,火,WRITTEN_IN
花,花,WRITTEN_IN
九時,九,WRITTEN_IN
五つ,五,WRITTEN_IN
後,後,WRITTEN_IN
午前,午,WRITTEN_IN
入り口,口,WRITTEN_IN
左,左,WRITTEN_IN
三つ,三,WRITTEN_IN
四つ,四,WRITTEN_IN
子ども,子,WRITTEN_IN
耳,耳,WRITTEN_IN
七時,七,WRITTEN_IN
図書館,書,WRITTEN_IN
小学生,小,WRITTEN_IN
西,西,WRITTEN_IN
川,川,WRITTEN_IN
千円,千,WRITTEN_IN
寝不足,足,WRITTEN_IN
多い,多,WRITTEN_IN
長い,長,WRITTEN_IN
お店,店,WRITTEN_IN
土曜日,土,WRITTEN_IN
東京,東,WRITTEN_IN
南,南,WRITTEN_IN
今年,年,WRITTEN_IN
八時,八,WRITTEN_IN
十一時半,半,WRITTEN_IN
百人,百,WRITTEN_IN
北海道,北,WRITTEN_IN
五万円,万,WRITTEN_IN
目,目,WRITTEN_IN
立って,立,WRITTEN_IN
六時,六,WRITTEN_IN
下,下,WRITTEN_IN
何,何,WRITTEN_IN
外,外,WRITTEN_IN
元気,気,WRITTEN_IN
空,空,WRITTEN_IN
月,月,WRITTEN_IN
言,言,WRITTEN_IN
語,語,WRITTEN_IN
銀行,行,WRITTEN_IN
山,山,WRITTEN_IN
週,週,WRITTEN_IN
出,出,WRITTEN_IN
少,少,WRITTEN_IN
上,上,WRITTEN_IN
大人,人,WRITTEN_IN
水,水,WRITTEN_IN
午前,前,WRITTEN_IN
大人,大,WRITTEN_IN
中,中,WRITTEN_IN
天,天,WRITTEN_IN
北海道,道,WRITTEN_IN
二,二,WRITTEN_IN
明日,日,WRITTEN_IN
入り口,入,WRITTEN_IN
白,白,WRITTEN_IN
父,父,WRITTEN_IN
分,分,WRITTEN_IN
母 / お母さん,母,WRITTEN_IN
本,本,WRITTEN_IN
毎,毎,WRITTEN_IN
有名,名,WRITTEN_IN
友,友,WRITTEN_IN
