vocab_id,pos_id,relationship_type
"秋","Kata Benda","HAS_POS"
"朝","Kata Benda","HAS_POS"
"傘","Kata Benda","HAS_POS"
"学生","Kata Benda","HAS_POS"
"映画","Kata Benda","HAS_POS"
"駅","Kata Benda","HAS_POS"
"鉛筆","Kata Benda","HAS_POS"
"お金","Kata Benda","HAS_POS"
"会社","Kata Benda","HAS_POS"
"学校","Kata Benda","HAS_POS"
"好き","Kata Sifat-na","HAS_POS"
"有名","Kata Sifat-na","HAS_POS"
"きれい","Kata Sifat-na","HAS_POS"
"静か","Kata Sifat-na","HAS_POS"
"便利","Kata Sifat-na","HAS_POS"
"元気","Kata Sifat-na","HAS_POS"
"大丈夫","Kata Sifat-na","HAS_POS"
"青い","Kata Sifat-i","HAS_POS"
"赤い","Kata Sifat-i","HAS_POS"
"新しい","Kata Sifat-i","HAS_POS"
"暑い","Kata Sifat-i","HAS_POS"
"良い","Kata Sifat-i","HAS_POS"
"忙しい","Kata Sifat-i","HAS_POS"
"美味しい","Kata Sifat-i","HAS_POS"
"大きい","Kata Sifat-i","HAS_POS"
"小さい","Kata Sifat-i","HAS_POS"
"高い","Kata Sifat-i","HAS_POS"
"会う","Kata Kerja","HAS_POS"
"開く","Kata Kerja","HAS_POS"
"遊ぶ","Kata Kerja","HAS_POS"
"洗う","Kata Kerja","HAS_POS"
"歩く","Kata Kerja","HAS_POS"
"行く","Kata Kerja","HAS_POS"
"食べる","Kata Kerja","HAS_POS"
"飲む","Kata Kerja","HAS_POS"
"見る","Kata Kerja","HAS_POS"
"聞く","Kata Kerja","HAS_POS"
