kanji_id,onyomi,kunyomi,arti,level,strokes,frequency,description
安,an,yasu-i,murah,N5,6,170,"安 is a Japanese kanji that means peaceful. 安 has 6 strokes, and is the 170th most common kanji in Japanese."
一,ichi,hito-tsu,satu,N5,,2,"一 is a Japanese kanji that means one. 一 has 1 strokes, and is the 2nd most common kanji in Japanese."
飲,in,no-mu,minum,N5,12,549,"飲 is a Japanese kanji that means drink. 飲 has 12 strokes, and is the 549th most common kanji in Japanese."
右,"u, yuu",Migi,kanan,N5,5,341,"右 is a Japanese kanji that means right. 右 has 5 strokes, and is the 341st most common kanji in Japanese."
雨,u,Ame,hujan,N5,8,798,"雨 is a Japanese kanji that means rain. 雨 has 8 strokes, and is the 798th most common kanji in Japanese."
駅,eki,-,stasiun,N5,14,976,"駅 is a Japanese kanji that means station. 駅 has 14 strokes, and is the 976th most common kanji in Japanese."
円,en,Maru,yen,N5,4,208,"円 is a Japanese kanji that means circle; yen. 円 has 4 strokes, and is the 208th most common kanji in Japanese."
火,ka,Hi,api,N5,4,465,"火 is a Japanese kanji that means fire. 火 has 4 strokes, and is the 465th most common kanji in Japanese."
花,ka,Hana,bunga,N5,7,436,"花 is a Japanese kanji that means flower. 花 has 7 strokes, and is the 436th most common kanji in Japanese."
下,"ka, ge","shita, kuda-saru",bawah,N5,3,44,"下 is a Japanese kanji that means below. 下 has 3 strokes, and is the 44th most common kanji in Japanese."
何,ka,"nani, nan",apa,N5,7,51,"何 is a Japanese kanji that means what. 何 has 7 strokes, and is the 51st most common kanji in Japanese."
会,kai,a-u,bertemu,N5,6,26,"会 is a Japanese kanji that means meet. 会 has 6 strokes, and is the 26th most common kanji in Japanese."
外,"gai, ge",Soto,diluar,N5,5,97,"外 is a Japanese kanji that means outside. 外 has 5 strokes, and is the 97th most common kanji in Japanese."
学,gaku,mana-bu,belajar,N5,8,47,"学 is a Japanese kanji that means learn. 学 has 8 strokes, and is the 47th most common kanji in Japanese."
間,kan,"ma, aida",interval,N5,12,21,"間 is a Japanese kanji that means interval. 間 has 12 strokes, and is the 21st most common kanji in Japanese."
気,"ki, ke",-,mood,N5,6,25,"気 is a Japanese kanji that means spirit. 気 has 6 strokes, and is the 25th most common kanji in Japanese."
九,kyuu,kokono-tsu,sembilan,N5,2,137,"九 is a Japanese kanji that means nine. 九 has 2 strokes, and is the 137th most common kanji in Japanese."
休,kyuu,yasu-mu,istirahat,N5,6,811,"休 is a Japanese kanji that means rest. 休 has 6 strokes, and is the 811th most common kanji in Japanese."
魚,gyo,"sakana, uo",ikan,N5,11,935,"魚 is a Japanese kanji that means fish. 魚 has 11 strokes, and is the 935th most common kanji in Japanese."
金,kin,Kane,uang,N5,8,79,"金 is a Japanese kanji that means gold. 金 has 8 strokes, and is the 79th most common kanji in Japanese."
空,kuu,Sora,langit,N5,8,253,"空 is a Japanese kanji that means empty. 空 has 8 strokes, and is the 253rd most common kanji in Japanese."
月,"getsu, gatsu",Tsuki,bulan,N5,4,49,"月 is a Japanese kanji that means month; moon. 月 has 4 strokes, and is the 49th most common kanji in Japanese."
見,ken,mi-ru,melihat,N5,7,10,"見 is a Japanese kanji that means see. 見 has 7 strokes, and is the 10th most common kanji in Japanese."
言,"gen, gon","koto, i-u",berkata,N5,7,12,"言 is a Japanese kanji that means say; word. 言 has 7 strokes, and is the 12th most common kanji in Japanese."
古,ko,furu-i,lama/kuno,N5,5,301,"古 is a Japanese kanji that means old. 古 has 5 strokes, and is the 301st most common kanji in Japanese."
五,go,itsu-tsu,lima,N5,4,75,"五 is a Japanese kanji that means five. 五 has 4 strokes, and is the 75th most common kanji in Japanese."
後,"go, kou","ato, ushi-ro","dibelakang, setelah",N5,9,38,"後 is a Japanese kanji that means after. 後 has 9 strokes, and is the 38th most common kanji in Japanese."
午,go,-,siang,N5,4,873,"午 is a Japanese kanji that means noon. 午 has 4 strokes, and is the 873rd most common kanji in Japanese."
語,go,kata-ru,bahasa,N5,14,129,"語 is a Japanese kanji that means talk. 語 has 14 strokes, and is the 129th most common kanji in Japanese."
校,kou,-,sekolahan,N5,10,316,"校 is a Japanese kanji that means exam. 校 has 10 strokes, and is the 316th most common kanji in Japanese."
口,kou,kuchi,mulut,N5,3,108,"口 is a Japanese kanji that means mouth. 口 has 3 strokes, and is the 108th most common kanji in Japanese."
行,"gyou, kou","i-ku, okona-u","pergi, melaksanakan",N5,6,18,"行 is a Japanese kanji that means to go. 行 has 6 strokes, and is the 18th most common kanji in Japanese."
高,kou,taka-i,"mahal, tinggi",N5,10,65,"高 is a Japanese kanji that means expensive; high. 高 has 10 strokes, and is the 65th most common kanji in Japanese."
国,koku,Kuni,negara,N5,8,11,"国 is a Japanese kanji that means country. 国 has 8 strokes, and is the 11th most common kanji in Japanese."
今,kon,Ima,sekarang,N5,4,71,"今 is a Japanese kanji that means now. 今 has 4 strokes, and is the 71st most common kanji in Japanese."
左,sa,hidari,kiri,N5,5,384,"左 is a Japanese kanji that means left. 左 has 5 strokes, and is the 384th most common kanji in Japanese."
三,san,mi-tsu,tiga,N5,3,30,"三 is a Japanese kanji that means three. 三 has 3 strokes, and is the 30th most common kanji in Japanese."
山,san,Yama,gunung,N5,3,60,"山 is a Japanese kanji that means mountain. 山 has 3 strokes, and is the 60th most common kanji in Japanese."
四,shi,yo-tsu,empat,N5,5,103,"四 is a Japanese kanji that means four. 四 has 5 strokes, and is the 103rd most common kanji in Japanese."
子,"shi, su",Ko,anak,N5,3,9,"子 is a Japanese kanji that means child. 子 has 3 strokes, and is the 9th most common kanji in Japanese."
耳,ji,mimi,telinga,N5,6,735,"耳 is a Japanese kanji that means ear. 耳 has 6 strokes, and is the 735th most common kanji in Japanese."
時,ji,Toki,waktu,N5,10,24,"時 is a Japanese kanji that means time. 時 has 10 strokes, and is the 24th most common kanji in Japanese."
七,shichi,nana-tsu,tujuh,N5,2,199,"七 is a Japanese kanji that means seven. 七 has 2 strokes, and is the 199th most common kanji in Japanese."
車,sha,kuruma,mobil,N5,7,234,"車 is a Japanese kanji that means car. 車 has 7 strokes, and is the 234th most common kanji in Japanese."
社,sha,yashiro,perusahaan,N5,7,57,"社 is a Japanese kanji that means company. 社 has 7 strokes, and is the 57th most common kanji in Japanese."
手,shu,Te,tangan,N5,4,16,"手 is a Japanese kanji that means hand. 手 has 4 strokes, and is the 16th most common kanji in Japanese."
週,shuu,-,minggu,N5,11,679,"週 is a Japanese kanji that means week. 週 has 11 strokes, and is the 679th most common kanji in Japanese."
十,juu,Tou,sepuluh,N5,2,27,"十 is a Japanese kanji that means ten. 十 has 2 strokes, and is the 27th most common kanji in Japanese."
出,shutsu,"de-ru, da-su",keluar,N5,5,6,"出 is a Japanese kanji that means go out. 出 has 5 strokes, and is the 6th most common kanji in Japanese."
書,sho,ka-ku,menulis,N5,10,72,"書 is a Japanese kanji that means write. 書 has 10 strokes, and is the 72nd most common kanji in Japanese."
女,jo,Onna,perempuan,N5,3,29,"女 is a Japanese kanji that means woman; female. 女 has 3 strokes, and is the 29th most common kanji in Japanese."
小,shou,chii-sai,kecil,N5,3,35,"小 is a Japanese kanji that means small. 小 has 3 strokes, and is the 35th most common kanji in Japanese."
少,shou,suku-nai,sedikit,N5,4,152,"少 is a Japanese kanji that means few. 少 has 4 strokes, and is the 152nd most common kanji in Japanese."
上,jou,"ue, a-garu",atas,N5,3,13,"上 is a Japanese kanji that means above. 上 has 3 strokes, and is the 13th most common kanji in Japanese."
食,shoku,ta-beru,makan,N5,9,142,"食 is a Japanese kanji that means eat; food. 食 has 9 strokes, and is the 142nd most common kanji in Japanese."
新,shin,atara-shii,baru,N5,13,69,"新 is a Japanese kanji that means new. 新 has 13 strokes, and is the 69th most common kanji in Japanese."
人,"jin, nin",Hito,orang,N5,2,1,"人 is a Japanese kanji that means person. 人 has 2 strokes, and is the 1st most common kanji in Japanese."
水,sui,Mizu,air,N5,4,146,"水 is a Japanese kanji that means water. 水 has 4 strokes, and is the 146th most common kanji in Japanese."
生,sei,"i-kiru, u-mu","hidup, lahir",N5,5,15,"生 is a Japanese kanji that means life. 生 has 5 strokes, and is the 15th most common kanji in Japanese."
西,"sei, sai",Nishi,barat,N5,6,291,"西 is a Japanese kanji that means west. 西 has 6 strokes, and is the 291st most common kanji in Japanese."
川,sen,Kawa,sungai,N5,3,109,"川 is a Japanese kanji that means river. 川 has 3 strokes, and is the 109th most common kanji in Japanese."
